2025-06-30 15:58:04 - NovelTranslator - INFO     - [MainThread] - Система логирования успешно настроена.
2025-06-30 15:58:07 - NovelTranslator.Projects - DEBUG    - [MainThread] - Менеджер проектов инициализирован. Файл БД: C:\Users\User\Desktop\Perevod\Perevod\_project_files\projects_main.db
2025-06-30 15:58:08 - NovelTranslator.GUI - INFO     - [MainThread] - Загрузка проекта: Dao
2025-06-30 15:58:08 - NovelTranslator.GUI - DEBUG    - [MainThread] - Применение настроек для проекта 'Dao'
2025-06-30 15:58:08 - NovelTranslator.Core - DEBUG    - [Thread-1 (_initialize_thread)] - Инициализация NovelTranslator...
2025-06-30 15:58:08 - NovelTranslator.DBManager - INFO     - [Thread-1 (_initialize_thread)] - DatabaseManager инициализирован для проекта 'Dao' (ID: 1)
2025-06-30 15:58:08 - NovelTranslator.KBManager - INFO     - [Thread-1 (_initialize_thread)] - KnowledgeBaseManager инициализирован. Коллекция: 'Dao_kb'. Записей: 1379
2025-06-30 15:58:09 - NovelTranslator.Core - DEBUG    - [Thread-1 (_initialize_thread)] - Инициализация моделей Gemini: gemini-2.5-flash, models/text-embedding-004
2025-06-30 15:58:09 - NovelTranslator.Core - INFO     - [Thread-1 (_initialize_thread)] - Модели Gemini (gemini-2.5-flash, models/text-embedding-004) успешно инициализированы.
2025-06-30 15:58:09 - NovelTranslator.Core - INFO     - [SpaCyLoader] - Попытка загрузки NLP-модели: en_core_web_lg...
2025-06-30 15:58:09 - NovelTranslator.Core - INFO     - [Thread-1 (_initialize_thread)] - Переводчик инициализирован для проекта 'Dao'. Загружено 1090 терминов, 289 записей в Библии. Индекс: 1379 векторов.
2025-06-30 15:58:11 - NovelTranslator.Core - INFO     - [SpaCyLoader] - NLP-модель 'en_core_web_lg' успешно загружена.
2025-06-30 15:58:23 - NovelTranslator.GUI - INFO     - [MainThread] - Загрузка проекта: Nerd
2025-06-30 15:58:23 - NovelTranslator.GUI - DEBUG    - [MainThread] - Применение настроек для проекта 'Nerd'
2025-06-30 15:58:23 - NovelTranslator.Core - DEBUG    - [Thread-4 (_initialize_thread)] - Инициализация NovelTranslator...
2025-06-30 15:58:23 - NovelTranslator.DBManager - INFO     - [Thread-4 (_initialize_thread)] - DatabaseManager инициализирован для проекта 'Nerd' (ID: 3)
